,Results.reception.time,MD5.hash.of.participant.s.IP.address,Controller.name,Order.number.of.item,Inner.element.number,Label,Latin.Square.Group,PennElementName,PennElementType,Parameter,Value,EventTime,Comments,Question..NULL.if.none..,Answer,Whether.or.not.answer.was.correct..NULL.if.N.A.,target_group,target_item,target_type,target_fem_sentence,target_choiceM,target_choiceF,target_adj,target_noun,Time.taken.to.answer.
1377,1701402990,a4fa8a67961aaa9a30fcc7c674f910eb,PennController,58,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402535506,4 extra columns added for this controller,Él tomó ___ chair ___,la%2C cómoda,1,2,19,D,Él tomó la chair cómoda,el%2C cómodo,la%2C cómoda,cómodo/cómoda,chair,5563
1383,1701402990,a4fa8a67961aaa9a30fcc7c674f910eb,PennController,47,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402551501,4 extra columns added for this controller,Ella arregló ___ machine,la rota,1,2,8,C,Ella arregló la rota machine,el roto,la rota,roto/a,machine,12081
1389,1701402990,a4fa8a67961aaa9a30fcc7c674f910eb,PennController,54,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402566295,4 extra columns added for this controller,Él vendió ___ guitar ___,el%2C usada,1,2,15,D,Él vendió la guitar usada,el%2C usado,el%2C usada,usado/usada,guitar,10303
1395,1701402990,a4fa8a67961aaa9a30fcc7c674f910eb,PennController,60,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402582292,4 extra columns added for this controller,Ella hizo ___ delicious cookie,la,1,2,21,B,Ella hizo la delicious cookie,el,la,delicious,cookie,9112
1401,1701402990,a4fa8a67961aaa9a30fcc7c674f910eb,PennController,59,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402594846,4 extra columns added for this controller,Yo di ___ answer,la correcta,1,2,20,C,Yo di la correcta answer,el correcto,la correcta,correcto/correcta,answer,4552
1407,1701402990,a4fa8a67961aaa9a30fcc7c674f910eb,PennController,69,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402605356,4 extra columns added for this controller,Ella se metió en ___ bathtub,el,0,2,30,A,Ella se metió en la bathtub,el,la,none,bathtub,4377
1413,1701402990,a4fa8a67961aaa9a30fcc7c674f910eb,PennController,42,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402637652,4 extra columns added for this controller,Él cerró ___ door ___,el%2C amarillo,0,2,3,D,Él cerró la door amarilla,el%2C amarillo,la%2C amarilla,amarillo/a,door,25883
1419,1701402990,a4fa8a67961aaa9a30fcc7c674f910eb,PennController,64,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402647921,4 extra columns added for this controller,Seguimos ___ complicated recipe,la,1,2,25,B,Seguimos la complicated recipe,el,la,complicated,recipe,5785
1425,1701402990,a4fa8a67961aaa9a30fcc7c674f910eb,PennController,44,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402663853,4 extra columns added for this controller,Ella necesita ___ old key,el,0,2,5,B,Ella necesita la old key,el,la,old,key,9807
1431,1701402990,a4fa8a67961aaa9a30fcc7c674f910eb,PennController,49,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402688813,4 extra columns added for this controller,Ella construyó ___ house,la,1,2,10,A,Ella construyó la house,el,la,none,house,8964
1437,1701402990,a4fa8a67961aaa9a30fcc7c674f910eb,PennController,57,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402699337,4 extra columns added for this controller,Me caí en ___ sidewalk,el,0,2,18,A,Me caí en la sidewalk,el,la,none,sidewalk,3850
1443,1701402990,a4fa8a67961aaa9a30fcc7c674f910eb,PennController,63,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402710834,4 extra columns added for this controller,Él visitó ___ beach,la famosa,1,2,24,C,Él visitó la famosa beach,el famoso,la famosa,famoso/famosa,beach,7651
1449,1701402990,a4fa8a67961aaa9a30fcc7c674f910eb,PennController,67,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402727961,4 extra columns added for this controller,Ella regó ___ plant,la sana,1,2,28,C,Ella regó la sana plant,el sano,la sana,sano/sana,plant,5980
1455,1701402990,a4fa8a67961aaa9a30fcc7c674f910eb,PennController,65,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402739298,4 extra columns added for this controller,Yo escogí ___ apple,el,0,2,26,A,Yo escogí la apple,el,la,none,apple,3123
1461,1701402990,a4fa8a67961aaa9a30fcc7c674f910eb,PennController,61,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402746658,4 extra columns added for this controller,Dame ___ cup,la,1,2,22,A,Dame la cup,el,la,none,cup,3716
1467,1701402990,a4fa8a67961aaa9a30fcc7c674f910eb,PennController,51,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402764582,4 extra columns added for this controller,Ellos leen ___ letter,la larga,1,2,12,C,Ellos leen la larga letter,el largo,la larga,largo/larga,letter,6760
1473,1701402990,a4fa8a67961aaa9a30fcc7c674f910eb,PennController,66,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402772127,4 extra columns added for this controller,Él cortó ___ strawberry ___,la%2C madura,1,2,27,D,Él cortó la strawberry madura,el%2C maduro,la%2C madura,maduro/madura,strawberry,4981
1479,1701402990,a4fa8a67961aaa9a30fcc7c674f910eb,PennController,71,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402787828,4 extra columns added for this controller,Tú doblaste ___ blanket,la limpia,1,2,32,C,Tú doblaste la limpia blanket,el limpio,la limpia,limpio/limpia,blanket,12490
1485,1701402990,a4fa8a67961aaa9a30fcc7c674f910eb,PennController,41,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402797323,4 extra columns added for this controller,Yo compré ___ table,la,1,2,2,A,Yo compré la table,el,la,none,table,6648
1491,1701402990,a4fa8a67961aaa9a30fcc7c674f910eb,PennController,53,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402807612,4 extra columns added for this controller,Ella odia ___ sculpture,el,0,2,14,A,Ella odia la sculpture,el,la,none,sculpture,7765
1497,1701402990,a4fa8a67961aaa9a30fcc7c674f910eb,PennController,43,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402817263,4 extra columns added for this controller,Ellos abrieron ___ window,la pequeña,1,2,4,C,Ellos abrieron la pequeña window,el pequeño,la pequeña,pequeño/a,window,4003
1503,1701402990,a4fa8a67961aaa9a30fcc7c674f910eb,PennController,52,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402830229,4 extra columns added for this controller,Tallamos ___ orange pumpkin,el,0,2,13,B,Tallamos la orange pumpkin,el,la,orange,pumpkin,7219
1509,1701402990,a4fa8a67961aaa9a30fcc7c674f910eb,PennController,55,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402853263,4 extra columns added for this controller,Él usó ___ computer,la nueva,1,2,16,C,Él usó la nueva computer,el nuevo,la nueva,nuevo/nueva,computer,5434
1515,1701402990,a4fa8a67961aaa9a30fcc7c674f910eb,PennController,46,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402875461,4 extra columns added for this controller,Subimos ___ mountain ___,la%2C alta,1,2,7,D,Subimos la mountain alta,el%2C alto,la%2C alta,alto/a,mountain,18935
1521,1701402990,a4fa8a67961aaa9a30fcc7c674f910eb,PennController,40,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402926626,4 extra columns added for this controller,Pásame ___ red t-shirt,la,1,2,1,B,Pásame la red t-shirt,el,la,red,t-shirt,45893
1527,1701402990,a4fa8a67961aaa9a30fcc7c674f910eb,PennController,48,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402939369,4 extra columns added for this controller,Comí ___ purple grape,la,1,2,9,B,Comí la purple grape,el,la,rotten,grape,6636
1533,1701402990,a4fa8a67961aaa9a30fcc7c674f910eb,PennController,56,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402957227,4 extra columns added for this controller,A ella le encanta ___ expensive bag,la,1,2,17,B,A ella le encanta la expensive bag,el,la,expensive,bag,6801
1539,1701402990,a4fa8a67961aaa9a30fcc7c674f910eb,PennController,50,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402970479,4 extra columns added for this controller,Quiero ver ___ movie ___,la%2C buena,1,2,11,D,Quiero ver la movie buena,el%2C bueno,la%2C buena,bueno/buena,movie,6269
1545,1701402990,a4fa8a67961aaa9a30fcc7c674f910eb,PennController,62,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402979977,4 extra columns added for this controller,Miguel tiene ___ bike ___,la%2C blanca,1,2,23,D,Miguel tiene la bike blanca,el%2C blanco,la%2C blanca,blanco/blanca,bicycle,4102
1581,1701403593,d3412572435a05abb67eb68b673a1db2,PennController,69,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402882083,4 extra columns added for this controller,Ella se metió en ___ empty bathtub,el,0,3,30,B,Ella se metió en la empty bathtub,el,la,empty,bathtub,7308
1587,1701403593,d3412572435a05abb67eb68b673a1db2,PennController,41,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402897685,4 extra columns added for this controller,Yo compré ___ cheap table,la,1,3,2,B,Yo compré la cheap table,el,la,cheap,table,9324
1593,1701403593,d3412572435a05abb67eb68b673a1db2,PennController,50,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402908798,4 extra columns added for this controller,Quiero ver ___ movie,el,0,3,11,A,Quiero ver la movie,el,la,none,movie,3368
1599,1701403593,d3412572435a05abb67eb68b673a1db2,PennController,65,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402943424,4 extra columns added for this controller,Yo escogí ___ fresh apple,la,1,3,26,B,Yo escogí la fresh apple,el,la,fresh,apple,6652
1605,1701403593,d3412572435a05abb67eb68b673a1db2,PennController,42,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402959598,4 extra columns added for this controller,Él cerró ___ door,el,0,3,3,A,Él cerró la door,el,la,none,door,9998
1611,1701403593,d3412572435a05abb67eb68b673a1db2,PennController,49,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402970298,4 extra columns added for this controller,Ella construyó ___ pretty house,la,1,3,10,B,Ella construyó la pretty house,el,la,pretty,house,4977
1617,1701403593,d3412572435a05abb67eb68b673a1db2,PennController,55,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701402998107,4 extra columns added for this controller,Él usó ___ computer ___,el%2C nuevo,0,3,16,D,Él usó la computer nueva,el%2C nuevo,la%2C nueva,nuevo/nueva,computer,21586
1623,1701403593,d3412572435a05abb67eb68b673a1db2,PennController,66,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701403017387,4 extra columns added for this controller,Él cortó ___ strawberry,el,0,3,27,A,Él cortó la strawberry,el,la,none,strawberry,10140
1629,1701403593,d3412572435a05abb67eb68b673a1db2,PennController,47,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701403049375,4 extra columns added for this controller,Ella arregló ___ machine ___,la%2C rota,1,3,8,D,Ella arregló la machine rota,el%2C roto,la%2C rota,roto/a,machine,24250
1635,1701403593,d3412572435a05abb67eb68b673a1db2,PennController,62,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701403056720,4 extra columns added for this controller,Miguel tiene ___ bike,la,1,3,23,A,Miguel tiene la bike,el,la,none,bicycle,4429
1641,1701403593,d3412572435a05abb67eb68b673a1db2,PennController,43,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701403112937,4 extra columns added for this controller,Ellos abrieron ___ window ___,la%2C pequeña,1,3,4,D,Ellos abrieron la window pequeña,el%2C pequeño,la%2C pequeña,pequeño/a,window,50274
1647,1701403593,d3412572435a05abb67eb68b673a1db2,PennController,71,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701403146908,4 extra columns added for this controller,Tú doblaste ___ blanket ___,el%2C limpio,0,3,32,D,Tú doblaste la blanket limpia,el%2C limpio,la%2C limpia,limpio/limpia,blanket,27982
1653,1701403593,d3412572435a05abb67eb68b673a1db2,PennController,44,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701403159695,4 extra columns added for this controller,Ella necesita ___ key,la vieja,1,3,5,C,Ella necesita la vieja key,el viejo,la vieja,viejo/a,key,8016
1659,1701403593,d3412572435a05abb67eb68b673a1db2,PennController,48,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701403176630,4 extra columns added for this controller,Comí ___ grape,la podrida,1,3,9,C,Comí la podrida grape,el podrido,la podrida,podrido/podrida,grape,7470
1665,1701403593,d3412572435a05abb67eb68b673a1db2,PennController,54,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701403193487,4 extra columns added for this controller,Él vendió ___ guitar,la,1,3,15,A,Él vendió la guitar,el,la,none,guitar,6437
1671,1701403593,d3412572435a05abb67eb68b673a1db2,PennController,59,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701403216926,4 extra columns added for this controller,Yo di ___ answer ___,el%2C correcto,0,3,20,D,Yo di la answer correcta,el%2C correcto,la%2C correcta ,correcto/correcta,answer,9350
1677,1701403593,d3412572435a05abb67eb68b673a1db2,PennController,53,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701403233657,4 extra columns added for this controller,Ella odia ___ ugly sculpture,la,1,3,14,B,Ella odia la ugly sculpture,el,la,ugly,sculpture,9069
1683,1701403593,d3412572435a05abb67eb68b673a1db2,PennController,45,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701403248908,4 extra columns added for this controller,A él le gusta ___ beautiful painting,la,1,3,6,B,A él le gusta la beautiful painting,el,la,beautiful,painting,9789
1689,1701403593,d3412572435a05abb67eb68b673a1db2,PennController,51,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701403267581,4 extra columns added for this controller,Ellos leen ___ letter ___,la%2C larga,1,3,12,D,Ellos leen la letter larga,el%2C largo,la%2C larga,largo/large,letter,13473
1695,1701403593,d3412572435a05abb67eb68b673a1db2,PennController,60,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701403297611,4 extra columns added for this controller,Ella hizo ___ cookie,la deliciosa,1,3,21,C,Ella hizo la deliciosa cookie,el delicioso,la deliciosa,delicioso/deliciosa,cookie,11160
1701,1701403593,d3412572435a05abb67eb68b673a1db2,PennController,52,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701403322264,4 extra columns added for this controller,Tallamos ___ pumpkin,la naranja,1,3,13,C,Tallamos la naranja pumpkin,el naranjo,la naranja,naranjo/a,pumpkin,18324
1707,1701403593,d3412572435a05abb67eb68b673a1db2,PennController,63,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701403349707,4 extra columns added for this controller,Él visitó ___ beach ___,la%2C famosa,1,3,24,D,Él visitó la beach famosa,el%2C famoso,la%2C famosa,famoso/famosa,beach,9239
1713,1701403593,d3412572435a05abb67eb68b673a1db2,PennController,64,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701403362576,4 extra columns added for this controller,Seguimos ___ recipe,la complicada,1,3,25,C,Seguimos la complicada recipe,el complicado,la complicada,complicado/complicada,recipe,9159
1719,1701403593,d3412572435a05abb67eb68b673a1db2,PennController,58,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701403384188,4 extra columns added for this controller,Él tomó ___ chair,el,0,3,19,A,Él tomó la chair,el,la,none,chair,2657
1725,1701403593,d3412572435a05abb67eb68b673a1db2,PennController,68,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701403399055,4 extra columns added for this controller,Ellos miraron ___ star,el luminoso,0,3,29,C,Ellos miraron la luminosa star,el luminoso,la luminosa,luminoso/luminosa,star,5251
1731,1701403593,d3412572435a05abb67eb68b673a1db2,PennController,67,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701403424308,4 extra columns added for this controller,Ella regó ___ plant ___,el%2C sano,0,3,28,D,Ella regó la plant sana,el%2C sano,la%2C sana,sano/sana,plant,20924
1737,1701403593,d3412572435a05abb67eb68b673a1db2,PennController,57,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701403438362,4 extra columns added for this controller,Me caí en ___ icy sidewalk,la,1,3,18,B,Me caí en la icy sidewalk,el,la,icy,sidewalk,10643
1743,1701403593,d3412572435a05abb67eb68b673a1db2,PennController,56,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701403463227,4 extra columns added for this controller,A ella le encanta ___ bag,la cara,1,3,17,C,A ella le encanta la cara bag,el caro,la cara,caro/cara,bag,8984
1749,1701403593,d3412572435a05abb67eb68b673a1db2,PennController,40,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701403480198,4 extra columns added for this controller,Pásame ___ t-shirt,el rojo,0,3,1,C,Pásame la roja t-shirt,el rojo,la roja,rojo/a,t-shirt,8451
1755,1701403593,d3412572435a05abb67eb68b673a1db2,PennController,70,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701403487897,4 extra columns added for this controller,Tú nadaste en ___ pool,el,0,3,31,A,Tú nadaste en la pool,el,la,none,pool,3029
1761,1701403593,d3412572435a05abb67eb68b673a1db2,PennController,46,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701403507874,4 extra columns added for this controller,Subimos ___ mountain,la,1,3,7,A,Subimos la mountain,el,la,none,mountain,7977
1767,1701403593,d3412572435a05abb67eb68b673a1db2,PennController,61,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701403520320,4 extra columns added for this controller,Dame ___ full cup,la,1,3,22,B,Dame la full cup,el,la,full,cup,7446
1806,1701429280,3d7b21c61578b99b3b76cd4e915b79fb,PennController,53,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701428923637,4 extra columns added for this controller,Ella odia ___ sculpture ___,la%2C fea,1,1,14,D,Ella odia la sculpture fea,el%2C feo,la%2C fea,feo/a,sculpture,9803
1812,1701429280,3d7b21c61578b99b3b76cd4e915b79fb,PennController,45,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701428936410,4 extra columns added for this controller,A él le gusta ___ painting ___,el%2C hermoso,0,1,6,D,A él le gusta la painting hermosa,el%2C hermoso,la%2C hermosa,hermoso/a,painting,7622
1818,1701429280,3d7b21c61578b99b3b76cd4e915b79fb,PennController,41,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701428953000,4 extra columns added for this controller,Yo compré ___ table ___,el%2C barato,0,1,2,D,Yo compré la table barata,el%2C barato,la%2C barata,barato/a,table,9155
1824,1701429280,3d7b21c61578b99b3b76cd4e915b79fb,PennController,51,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701428966322,4 extra columns added for this controller,Ellos leen ___ long letter,el,0,1,12,B,Ellos leen la long letter,el,la,long,letter,7921
1830,1701429280,3d7b21c61578b99b3b76cd4e915b79fb,PennController,64,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701428973383,4 extra columns added for this controller,Seguimos ___ recipe,la,1,1,25,A,Seguimos la recipe,el,la,none,recipe,3657
1836,1701429280,3d7b21c61578b99b3b76cd4e915b79fb,PennController,40,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701428983208,4 extra columns added for this controller,Pásame ___ t-shirt,la,1,1,1,A,Pásame la t-shirt,el,la,none,t-shirt,2509
1842,1701429280,3d7b21c61578b99b3b76cd4e915b79fb,PennController,42,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701428996565,4 extra columns added for this controller,Él cerró ___ door,la amarilla,1,1,3,C,Él cerró la amarilla door,el amarillo,la amarilla,amarillo/a,door,7088
1848,1701429280,3d7b21c61578b99b3b76cd4e915b79fb,PennController,54,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701429007875,4 extra columns added for this controller,Él vendió __ guitar,la usada,1,1,15,C,Él vendió la usada guitar,el usado,la usada,usado/usada,guitar,5541
1854,1701429280,3d7b21c61578b99b3b76cd4e915b79fb,PennController,59,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701429027094,4 extra columns added for this controller,Yo di ___ correct answer,el,0,1,20,B,Yo di la correct answer,el,la,correct,answer,12951
1860,1701429280,3d7b21c61578b99b3b76cd4e915b79fb,PennController,55,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701429036585,4 extra columns added for this controller,Él usó ___ new computer,la,1,1,16,B,Él usó la new computer,el,la,new,computer,6338
1866,1701429280,3d7b21c61578b99b3b76cd4e915b79fb,PennController,46,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701429047528,4 extra columns added for this controller,Subimos ___ mountain,la alta,1,1,7,C,Subimos la alta mountain,el alto,la alta,alto/a,mountain,3626
1872,1701429280,3d7b21c61578b99b3b76cd4e915b79fb,PennController,60,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701429057934,4 extra columns added for this controller,Ella hizo ___ cookie,la,1,1,21,A,Ella hizo la cookie,el,la,none,cookie,6373
1878,1701429280,3d7b21c61578b99b3b76cd4e915b79fb,PennController,50,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701429065296,4 extra columns added for this controller,Quiero ver ___ movie,la buena,1,1,11,C,Quiero ver la buena movie,el buen,la buena,buen/buena,movie,3359
1884,1701429280,3d7b21c61578b99b3b76cd4e915b79fb,PennController,58,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701429072691,4 extra columns added for this controller,Él tomó ___ chair,la cómoda,1,1,19,C,Él tomó la cómoda chair,el cómodo,la cómoda,cómodo/cómoda,chair,4459
1890,1701429280,3d7b21c61578b99b3b76cd4e915b79fb,PennController,63,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701429088711,4 extra columns added for this controller,Él visitó ___ famous beach,la,1,1,24,B,Él visitó la famous beach,el,la,famous,beach,9053
1896,1701429280,3d7b21c61578b99b3b76cd4e915b79fb,PennController,68,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701429104529,4 extra columns added for this controller,Ellos miraron ___ star,la,1,1,29,A,Ellos miraron la star,el,la,none,star,5687
1902,1701429280,3d7b21c61578b99b3b76cd4e915b79fb,PennController,70,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701429116552,4 extra columns added for this controller,Tú nadaste en ___ pool,la profunda,1,1,31,C,Tú nadaste en la profunda pool,el profundo,la profunda,profundo/profunda,pool,4341
1908,1701429280,3d7b21c61578b99b3b76cd4e915b79fb,PennController,61,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701429124378,4 extra columns added for this controller,Dame ___ cup ___,la%2C llena,1,1,22,D,Dame la cup llena,el%2C lleno,la%2C llena,lleno/llena,cup,4075
1914,1701429280,3d7b21c61578b99b3b76cd4e915b79fb,PennController,62,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701429144477,4 extra columns added for this controller,Miguel tiene ___ bike,el blanco,0,1,23,C,Miguel tiene la blanca bike,el blanco,la blanca,blanco/blanca,bicycle,14882
1920,1701429280,3d7b21c61578b99b3b76cd4e915b79fb,PennController,44,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701429156599,4 extra columns added for this controller,Ella necesita ___ key,la,1,1,5,A,Ella necesita la key,el,la,none,key,4356
1926,1701429280,3d7b21c61578b99b3b76cd4e915b79fb,PennController,47,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701429167406,4 extra columns added for this controller,Ella arregló ___ broken machine,la,1,1,8,B,Ella arregló la broken machine,el,la,broken,machine,4957
1932,1701429280,3d7b21c61578b99b3b76cd4e915b79fb,PennController,49,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701429174351,4 extra columns added for this controller,Ella construyó ___ house ___,el%2C bonito,0,1,10,D,Ella construyó la house bonita,el%2C bonito,la%2C bonita,bonito/bonita,house,3776
1938,1701429280,3d7b21c61578b99b3b76cd4e915b79fb,PennController,57,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701429183440,4 extra columns added for this controller,Me caí en ___ sidewalk ___,la%2C helada,1,1,18,D,Me caí en la sidewalk helada,el%2C helado,la%2C helada,helado/helada,sidewalk,5523
1944,1701429280,3d7b21c61578b99b3b76cd4e915b79fb,PennController,56,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701429191767,4 extra columns added for this controller,A ella le encanta ___ bag,el,0,1,17,A,A ella le encanta la bag,el,la,none,bag,5440
1950,1701429280,3d7b21c61578b99b3b76cd4e915b79fb,PennController,71,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701429200341,4 extra columns added for this controller,Tú doblaste ___ clean blanket,la,1,1,32,B,Tú doblaste la clean blanket,el,la,clean,blanket,3442
1956,1701429280,3d7b21c61578b99b3b76cd4e915b79fb,PennController,65,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701429209602,4 extra columns added for this controller,Yo escogí ___ apple ___,la%2C fresca,1,1,26,D,Yo escogí la apple fresca,el%2C fresco,la%2C fresca,fresco/fresca,apple,4958
1962,1701429280,3d7b21c61578b99b3b76cd4e915b79fb,PennController,48,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701429216077,4 extra columns added for this controller,Comí ___ grape,la,1,1,9,A,Comí la grape,el,la,none,grape,2210
1968,1701429280,3d7b21c61578b99b3b76cd4e915b79fb,PennController,52,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701429225486,4 extra columns added for this controller,Tallamos ___ pumpkin,la,1,1,13,A,Tallamos la pumpkin,el,la,none,pumpkin,2960
1974,1701429280,3d7b21c61578b99b3b76cd4e915b79fb,PennController,43,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701429238175,4 extra columns added for this controller,Ellos abrieron ___ small window,el ,0,1,4,B,Ellos abrieron la small window,el ,la,small,window,7338
1980,1701429280,3d7b21c61578b99b3b76cd4e915b79fb,PennController,67,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701429246334,4 extra columns added for this controller,Ella regó ___ healthy plant,la,1,1,28,B,Ella regó la healthy plant,el,la,healthy,plant,5042
1986,1701429280,3d7b21c61578b99b3b76cd4e915b79fb,PennController,66,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701429252895,4 extra columns added for this controller,Él cortó ___ strawberry,la madura,1,1,27,C,Él cortó la madura strawberry,el maduro,la madura,maduro/madura,strawberry,3910
1992,1701429280,3d7b21c61578b99b3b76cd4e915b79fb,PennController,69,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701429260020,4 extra columns added for this controller,Ella se metió en ___ bathtub ___,el%2C vacío,0,1,30,D,Ella se metió en la bathtub vacía,el%2C vacío,la%2C vacía,vacío/vacía,bathtub,4689
2061,1701460034,cf6b190ba495ee9d25171886ce037b8d,PennController,59,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701459688579,4 extra columns added for this controller,Yo di ___ answer,la,1,4,20,A,Yo di la answer,el,la,none,answer,6472
2067,1701460034,cf6b190ba495ee9d25171886ce037b8d,PennController,68,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701459700382,4 extra columns added for this controller,Ellos miraron ___ star ___,la%2C luminosa,1,4,29,D,Ellos miraron la star luminosa,el%2C luminoso,la%2C luminosa,luminoso/luminosa,star,6816
2073,1701460034,cf6b190ba495ee9d25171886ce037b8d,PennController,64,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701459712537,4 extra columns added for this controller,Seguimos ___ recipe ___,la%2C complicada,1,4,25,D,Seguimos la recipe complicada,el%2C complicado,la%2C complicada,complicado/complicada,recipe,4612
2079,1701460034,cf6b190ba495ee9d25171886ce037b8d,PennController,69,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701459725368,4 extra columns added for this controller,Ella se metió en ___ bathtub,la%2C vacía,1,4,30,C,Ella se metió en la vacía bathtub,el%2C vacío,la%2C vacía,vacío/vacía,bathtub,4777
